Date/Time,Step Count (count),Source
2022-11-13 00:00:00,4171,Zebra|iPhone
2022-11-14 00:00:00,2038,Zebra|iPhone
2022-11-15 00:00:00,2180,Zebra|iPhone
2022-11-16 00:00:00,2817,Zebra|iPhone
2022-11-17 00:00:00,3208,Zebra|iPhone
2022-11-18 00:00:00,2140,Zebra|iPhone
2022-11-19 00:00:00,1228,Zebra|iPhone
2022-11-20 00:00:00,1962,Zebra|iPhone
2022-11-21 00:00:00,958,Zebra|iPhone
2022-11-22 00:00:00,3306,Zebra|iPhone
2022-11-23 00:00:00,3002,Zebra|iPhone
2022-11-24 00:00:00,7126,Zebra|iPhone
2022-11-25 00:00:00,745,Zebra|iPhone
2022-11-26 00:00:00,1011,Zebra|iPhone
2022-11-27 00:00:00,1296,Zebra|iPhone
2022-11-28 00:00:00,1162,Zebra|iPhone
2022-11-29 00:00:00,973,Zebra|iPhone
2022-11-30 00:00:00,1348,Zebra|iPhone
2022-12-01 00:00:00,2414,Zebra|iPhone
2022-12-02 00:00:00,2387,Zebra|iPhone
2022-12-03 00:00:00,1016,Zebra|iPhone
2022-12-04 00:00:00,1000,Zebra|iPhone
2022-12-05 00:00:00,813,Zebra|iPhone
2022-12-06 00:00:00,1649,Zebra|iPhone
2022-12-07 00:00:00,1472,Zebra|iPhone
2022-12-08 00:00:00,1982,Zebra|iPhone
2022-12-09 00:00:00,5059,Zebra|iPhone
2022-12-10 00:00:00,2637,Zebra|iPhone
2022-12-11 00:00:00,3937,Zebra|iPhone
2022-12-12 00:00:00,2885,Zebra|iPhone
2022-12-13 00:00:00,1237,Zebra|iPhone
2022-12-14 00:00:00,2030,Zebra|iPhone
2022-12-15 00:00:00,929,Zebra|iPhone
2022-12-17 00:00:00,9,Zebra|iPhone
2022-12-18 00:00:00,192,Zebra|iPhone
2022-12-19 00:00:00,2667,Zebra|iPhone
2022-12-20 00:00:00,1570,Zebra|iPhone
2022-12-21 00:00:00,3345,Zebra|iPhone
2022-12-22 00:00:00,2432,Zebra|iPhone
2022-12-23 00:00:00,1458,Zebra|iPhone
